,Timestamp,Open,High,Low,Close,Volume,Date,volume_adi,volume_obv,volume_cmf,volume_fi,volume_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volume_vwap,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,trend_stc,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,others_dr,others_dlr,others_cr
0,1502928000.0,301.13,312.18,298.0,302.0,7030.7103400000005,2017-08-17,-3064.160077658676,7030.7103400000005,-0.4358251057827929,0.0,50.0,0.0,0.0,128.4956384274601,1000.0,304.06,0.0,302.0,302.0,302.0,0.0,0.0,0.0,0.0,304.06,318.24,289.88,9.327106492139714,0.4273624823695345,0.0,0.0,298.0,312.18,305.09000000000003,4.695364238410598,0.2820874471086035,0.0,0.0,0.0,0.0,302.0,302.0,302.0,302.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.163487594651222,1.0,0.0,166.70850000000002,-355.6762892074712,-355.6762892074712,0.0,305.09000000000003,305.09000000000003,305.09000000000003,305.09000000000003,450.9483639705883,440.2609080882353,4.0,4.0,0.0,-1.0,-1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,28.208744710860355,28.208744710860355,-71.79125528913964,0.0,302.0,0.0,0.0,0.0,0.0,-35.56762892074712,0.0,0.0
1,1503014400.0,302.0,311.79,283.94,293.96,9537.84646,2017-08-18,-5738.866751001603,-2507.13612,-0.34637094952057634,-76684.2855384002,0.0,-2109661.2410764266,-2109661.2410764266,-2754.578439516514,1000.0,299.7444729150781,0.0,297.98,306.0200000000001,289.93999999999994,5.396335324518475,0.25,0.0,0.0,300.31166666666667,321.3266666666667,279.2966666666666,13.99546027182874,0.34887778570862066,0.0,0.0,283.94,312.18,298.06,9.477146117189076,0.35481586402266213,0.0,-0.6413675213674992,-0.12827350427349984,-0.5130940170939994,297.98,297.98,300.76307692307694,301.40444444444444,0.0,0.0,0.0,0.06945056494685455,0.1422250873168361,-0.07277452236998157,-0.005199710264905933,2.1485183475025122,-66.66666666666667,170.7285,-364.2530485365638,-359.9646688720175,-4.288379664546312,298.06,298.06,298.06,298.06,450.9483639705883,440.2609080882353,4.0,8.0,-4.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,23.84011420413984,35.48158640226621,31.84516555656328,-64.51841359773378,0.0,299.67138056639044,0.0,2.7714482831607574,0.5542896566321515,2.217158626528606,-2.6622516556291442,-2.698331371419904,-2.6622516556291442
2,1503100800.0,293.31,299.9,278.0,290.91,2146.19773,2017-08-19,-5354.707157321231,-4653.33385,-0.2861222223747345,-66664.5166152716,0.0,-9096948.397201048,-5603304.819138737,-276.1894814040913,989.6244386991428,298.5814926197681,0.0,295.62333333333333,304.97883557651744,286.26783109014923,6.329339526548945,0.24809832701567783,0.0,0.0,296.7422222222222,318.05222222222227,275.4322222222222,14.36263423547563,0.3631576203138854,0.0,0.0,278.0,312.18,295.09000000000003,11.562010215702417,0.3777062609713289,0.0,-1.379859254389146,-0.3785906542966291,-1.0012686000925168,295.62333333333333,295.62333333333333,299.24721893491125,300.6270781893004,0.0,0.0,0.0,0.13494603292683202,0.28136814865382836,-0.14642211572699634,-0.015622578678164167,3.3143327877928592,-97.5554205891286,173.08516666666668,-369.2810492377815,-363.07012899393885,-6.210920243842622,295.09000000000003,295.09000000000003,295.09000000000003,295.09000000000003,450.9483639705883,440.2609080882353,4.0,12.0,-8.0,-1.0,312.18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-100.0,35.867354919443144,37.77062609713289,33.82031907008649,-62.22937390286711,0.0,297.1047020597664,0.0,-3.4386388850891403,-0.2442960517121069,-3.1943428333770334,-1.037556130085715,-1.0429762676105625,-3.6721854304635704
3,1503187200.0,289.41,300.53,282.85,299.1,2510.13871,2017-08-20,-3250.620297468276,-2143.19514,-0.15315131438881505,-54204.15195096137,17.628786083138493,1929901.316091015,-3092236.1073954864,48.40002192100577,989.6244386991428,298.05858964657705,0.0,296.4925,305.1359642939044,287.8490357060956,5.830477529046705,0.6508365113418062,0.0,0.0,296.0966666666667,316.49916666666667,275.69416666666666,13.780972430174831,0.5736020912469884,0.0,0.0,278.0,312.18,295.09000000000003,11.528116225536904,0.6173200702165014,0.0,-1.2893914183874244,-0.5607508071147882,-0.7286406112726362,296.4925,296.4925,299.2245698680018,300.51396128638925,0.0,0.0,0.0,0.21953611028876044,0.3320756618522414,-0.11253955156348097,-0.0237722821077094,4.4404694540023035,-30.63134308685909,172.216,-367.4266628405502,-364.15926245559166,-3.2674003849585347,295.09000000000003,295.09000000000003,295.09000000000003,295.09000000000003,450.9483639705883,440.2609080882353,4.0,12.0,-8.0,-1.0,311.79,0.0,0.0,0.0,45.61507203546366,0.0,0.0,0.0,-97.7341474459565,48.00882244822941,61.73200702165014,44.994739840349744,-38.26799297834986,0.0,297.75631078418996,0.0,-8.351345841135425,-1.8657060095967704,-6.485639831538654,2.815303702175931,2.7764024651337316,-0.9602649006622443
4,1503273600.0,299.1,346.52,294.6,323.29,5219.44542,2017-08-21,-2701.734088046084,3076.25028,-0.1021668237872311,-28423.789570852612,41.1884273486573,28718192.822868895,4860371.125170609,492.7956933944673,989.6244386991428,302.6794115213833,0.0,301.852,324.6413708557301,279.06262914426986,15.099698432165507,0.9703508520642139,0.0,0.0,301.17133333333334,327.8773333333333,274.4653333333334,17.734755631899425,0.9141141815821673,0.0,0.0,278.0,346.52,312.26,22.699866159574885,0.6609748978400471,0.0,0.7258684692878319,-0.30342695183426416,1.0292954211220962,301.852,301.852,302.92694373446307,302.20107526517523,0.0,0.0,0.0,0.39974694759850155,0.2930788099641967,0.10666813763430483,-0.014353400637716455,5.840417749571552,145.90341469959654,166.85650000000004,-355.99205049620394,-362.52582006371415,6.533769567510205,312.26,312.26,312.26,312.26,450.9483639705883,440.2609080882353,20.0,12.0,8.0,278.0,311.79,1.0,0.0,0.0,77.81044945465653,0.0,0.0,0.0,-89.46740643889247,50.827529394143674,66.09748978400471,55.20004096759592,-33.902510215995285,0.0,305.87569516816694,0.0,-8.787654727049546,-3.250095753087326,-5.53755897396222,8.087596121698425,7.777178759329395,7.049668874172199
5,1503360000.0,321.04,330.41,144.21,309.8,7956.35088,2017-08-22,3493.280684147255,-4880.1006,0.10154682161488021,-39696.27297090225,30.405771303992665,-194827380.4636429,-35077179.19259209,90.13108838414047,989.6244386991428,293.1490788205918,0.0,303.1766666666667,324.80745542302554,281.5458779103078,14.269428445257793,0.653099672137158,0.0,0.0,294.555,347.8433333333333,241.26666666666668,36.182263640633025,0.6430425671660466,0.0,0.0,144.21,346.52,245.365,66.73006937649114,0.8184963669615937,0.0,1.2203784272181224,0.0013341239762131585,1.2190443032419092,303.1766666666667,303.1766666666667,303.9843370060841,302.763958578866,0.0,0.0,0.0,0.3186504807788207,0.6032858206205244,-0.2846353398417037,-0.0022613703622719533,8.075200786071582,-172.17330962397526,165.53183333333334,-353.165844727231,-360.9658241743003,7.7999794470692905,245.365,245.365,245.365,245.365,450.9483639705883,440.2609080882353,20.0,12.0,8.0,278.0,346.52,0.0,1.0,0.0,57.402251616914285,0.0,0.0,0.0,-83.36950069466272,73.01785881837803,81.84963669615937,69.89304450060474,-18.150363303840628,-2.9691666666666947,307.56191627790554,0.0,-5.436347670704231,-3.687346136610707,-1.7490015340935243,-4.172724179529219,-4.262282524642824,2.5827814569536534
6,1503446400.0,312.25,324.99,309.41,315.74,8665.725690000001,2017-08-23,1869.1523776774113,3785.6250900000014,0.043401624390956114,-26671.889603830507,48.27118340818152,14363323.332935993,-26837095.43833741,-165.84289525231634,989.6244386991428,297.89062428255346,0.0,304.9714285714286,326.84281478021467,283.1000423626425,14.343236224611442,0.7461794448183059,0.0,0.0,297.72047619047623,345.6219047619048,249.81904761904767,32.17879346718637,0.6880896285029772,0.0,0.0,144.21,346.52,245.365,66.33736181375303,0.84785724877663,0.0,2.0677537113263043,0.41461804144623143,1.6531356698800728,304.9714285714286,304.9714285714286,305.7929005436096,303.7251468322833,0.0,0.0,0.0,0.6761162454748866,0.6268724388188398,0.049243806656046774,0.014949137726720903,9.691126524063003,90.29125271654753,163.73707142857143,-349.3366803217169,-359.30451790964554,9.967837587928614,245.365,245.365,245.365,245.365,450.9483639705883,440.2609080882353,20.0,12.0,8.0,278.0,346.52,0.0,0.0,0.0,62.11421783608787,0.0,0.0,0.0,-77.28170058342334,71.51292833497361,84.785724877663,77.5776171192757,-15.214275122336996,-2.9529999999999745,310.6751061260745,0.0,-1.9555013094487508,-3.340977171178316,1.3854758617295653,1.9173660426081263,1.8992162120812672,4.549668874172186
7,1503532800.0,315.74,328.04,314.01,323.42,6753.27192,2017-08-24,4174.795463693097,10538.89701,0.08379810678303501,-15452.315611054715,57.010252751606956,794648.1444212297,-22889703.49794332,330.41898971828175,1013.6958762401875,301.1348054737266,0.0,307.27750000000003,331.0990422464626,283.45595775353746,15.504905010267636,0.8388214716114172,0.0,0.0,300.73333333333335,344.40083333333337,257.06583333333333,29.04067834183109,0.7597660349993319,0.0,0.0,144.21,346.52,245.365,65.83950988926945,0.8858187929415255,0.0,3.320737153732182,0.9958418639034217,2.3248952898287603,307.27750000000003,307.27750000000003,308.50476199843894,305.18402484470676,0.0,0.0,0.0,0.6941922653812206,0.6311917029820991,0.06300056239912144,0.0397824158012092,10.977689439626456,91.9956379498363,161.43099999999998,-344.4166256852606,-357.4435313815974,13.026905696336769,245.365,245.365,245.365,245.365,450.9483639705883,440.2609080882353,32.0,12.0,20.0,278.0,342.4738,0.0,0.0,0.0,67.17058020122005,0.0,0.0,0.0,-70.80695172973923,73.0591059568022,88.58187929415254,85.0724136226583,-11.418120705847445,0.09575000000000955,316.3620487952022,0.0,-1.5840921967919235,-2.989600176301038,1.4055079795091145,2.432381073034784,2.4032698046217327,7.092715231788094
8,1503619200.0,323.42,338.28,323.42,327.24,7125.96962,2017-08-25,712.5141274616076,17664.86663,0.01251217683447587,-9356.098531132622,63.648014604944635,2048836.9693610822,-19772385.93953027,248.43203840017182,1013.6958762401875,304.70267470546025,0.0,309.49555555555554,335.2219382284479,283.76917288266316,16.62471865013545,0.8448686251398569,0.0,0.0,303.9459259259259,344.41259259259255,263.47925925925927,26.627543398314014,0.7878180486911959,0.0,0.0,144.21,346.52,245.365,65.36765920171173,0.9047007068360439,0.0,4.569305524235517,1.7105345959698408,2.8587709282656766,309.49555555555554,309.49555555555554,311.38710630637144,306.8178007821359,0.0,0.0,0.0,0.7209899208512689,0.6220516065473658,0.0989383143039031,0.0710263200893841,12.072048895941172,104.21514247381823,159.21294444444447,-339.6843548696993,-355.470289546942,15.785934677242722,245.365,245.365,245.365,245.365,450.9483639705883,440.2609080882353,36.0,12.0,24.0,278.0,338.50852399999997,0.0,0.0,0.0,69.36098111950665,0.0,0.0,0.0,-64.89533778857106,72.87464581150334,90.47007068360438,87.9458916184733,-9.529929316395618,4.217888888888922,321.1011936983305,0.0,-0.8283349020076611,-2.557347121442363,1.7290122194347017,1.1811267083049914,1.1742058495699759,8.35761589403974
9,1503705600.0,327.24,335.44,323.41,330.79,4877.685210000001,2017-08-26,1819.4202474366798,22542.55184,0.029429341558812317,-5545.829813042241,67.12497661353572,-351452.5694453282,-17614504.453965276,137.08135727312288,1024.6927603639274,306.68909380354563,37.62299999999999,311.625,339.1732358781828,284.0767641218172,17.680376014878664,0.847844415242175,0.0,0.0,306.53933333333333,344.1623333333333,268.91633333333334,24.54693144327318,0.822285127005644,0.0,0.0,144.21,346.52,245.365,64.92097874047332,0.9222480351935151,0.0,5.778647631903539,2.52415720315658,3.2544904287469585,311.625,311.625,314.372166874622,308.59351924271846,0.0,0.0,0.0,0.7272713621650335,0.6359166489131566,0.09135471325187694,0.10733427175241485,13.029891582282724,89.59604877611878,157.08350000000002,-335.1411378287358,-353.18860606041585,18.047468231680057,245.365,245.365,245.365,245.365,450.9483639705883,440.2609080882353,40.0,12.0,28.0,144.21,338.50852399999997,1.0,0.0,0.0,71.27882098881298,0.0,0.0,0.0,-59.438348366122476,73.11360060988889,92.2248035193515,90.42558449903613,-7.775196480648492,3.1655000000000086,325.1518588357124,0.0,-2.95752697639572,-2.6373830924330344,-0.32014388396268556,1.0848307052927497,1.0789886301040497,9.533112582781467
