Timestamp,Open,High,Low,Close,Volume,Date
1568851200.0,9881.43,10305.58,9828.59,10254.92,1.051048,2019-09-19
1568937600.0,10214.31,10233.53,10078.91,10171.06,6.916183999999999,2019-09-20
1569024000.0,10169.44,10169.44,9940.27,9998.87,3.0530310000000003,2019-09-21
1569110400.0,9928.07,10050.12,9874.3,10010.53,1.797653,2019-09-22
1569196800.0,10037.7,10037.7,9612.75,9706.93,28.145778000000004,2019-09-23
1569283200.0,9675.42,9783.1,1800.0,8499.75,65.020525,2019-09-24
1569369600.0,8558.92,8728.04,8225.58,8436.75,30.059526,2019-09-25
1569456000.0,8415.14,8461.31,7200.0,8067.78,77.137854,2019-09-26
1569542400.0,8067.78,8257.25,7853.53,8187.15,20.750945,2019-09-27
1569628800.0,8187.15,8319.86,8016.75,8206.39,24.099766,2019-09-28
1569715200.0,8159.65,8167.83,7911.75,8064.0,15.719529999999999,2019-09-29
1569801600.0,8045.91,8346.43,7719.48,8263.5,44.652749,2019-09-30
1569888000.0,8297.79,8503.08,8182.04,8308.0,73.120773,2019-10-01
1569974400.0,8296.82,8378.05,8169.0,8368.29,30.803361,2019-10-02
1570060800.0,8371.98,8400.0,8085.71,8237.25,18.558607000000002,2019-10-03
1570147200.0,8232.01,8237.22,8013.23,8176.66,10.068036,2019-10-04
1570233600.0,8144.23,8190.52,8028.39,8118.26,10.948656,2019-10-05
1570320000.0,8130.94,8158.52,7793.53,7848.27,22.826874,2019-10-06
1570406400.0,7829.06,8290.04,7793.52,8237.68,41.409387,2019-10-07
1570492800.0,8217.83,8325.58,8114.65,8185.61,22.099532999999997,2019-10-08
1570579200.0,8196.59,8662.59,8129.69,8581.34,57.824688,2019-10-09
1570665600.0,8587.06,8650.91,8458.53,8576.0,32.459087,2019-10-10
1570752000.0,8564.94,8798.63,8234.82,8261.18,61.820489,2019-10-11
1570838400.0,8267.51,8410.74,8261.76,8304.69,39.604237,2019-10-12
1570924800.0,8302.89,8455.22,8159.96,8281.1,105.31993700000001,2019-10-13
1571011200.0,8275.21,8388.71,8214.42,8352.73,128.874758,2019-10-14
1571097600.0,8352.74,8409.44,8100.0,8163.65,126.545204,2019-10-15
1571184000.0,8163.65,8178.48,7911.2,7999.98,165.89398,2019-10-16
1571270400.0,7999.49,8114.27,7939.55,8074.53,64.413256,2019-10-17
1571356800.0,8075.8,8119.87,7825.01,7952.4,192.751137,2019-10-18
1571443200.0,7953.87,8100.0,7880.0,7950.66,308.703054,2019-10-19
1571529600.0,7951.76,8316.2,7876.3,8232.05,335.74733399999997,2019-10-20
1571616000.0,8232.22,8330.0,8153.0,8212.88,211.694024,2019-10-21
1571702400.0,8212.88,8300.0,8005.0,8027.83,202.784022,2019-10-22
1571788800.0,8026.0,8050.86,7299.66,7470.38,363.499628,2019-10-23
1571875200.0,7469.85,7510.48,7344.18,7424.77,210.354106,2019-10-24
1571961600.0,7422.75,8770.0,7392.81,8666.87,787.253691,2019-10-25
1572048000.0,8666.92,10350.0,8655.0,9250.53,1595.119016,2019-10-26
1572134400.0,9248.83,9800.0,9095.83,9550.78,932.156025,2019-10-27
1572220800.0,9550.78,9928.09,9195.0,9224.16,595.658129,2019-10-28
1572307200.0,9219.37,9545.8,9100.01,9420.66,591.516653,2019-10-29
1572393600.0,9420.66,9426.31,9000.0,9155.44,486.37457800000004,2019-10-30
1572480000.0,9168.41,9415.66,8950.0,9147.08,549.205067,2019-10-31
1572566400.0,9146.96,9289.99,9050.29,9231.53,479.21234599999997,2019-11-01
1572652800.0,9239.96,9382.39,9200.0,9301.75,341.459967,2019-11-02
1572739200.0,9300.49,9371.31,9073.07,9199.53,307.465586,2019-11-03
1572825600.0,9205.31,9524.41,9125.68,9407.32,830.949564,2019-11-04
1572912000.0,9408.14,9466.52,9180.0,9315.62,854.3445210000001,2019-11-05
1572998400.0,9315.74,9437.63,9254.0,9337.55,521.040295,2019-11-06
1573084800.0,9337.55,9365.38,9090.0,9207.51,406.777903,2019-11-07
1573171200.0,9202.2,9240.0,8661.63,8768.56,594.568744,2019-11-08
1573257600.0,8766.68,8867.26,8718.28,8810.62,240.227771,2019-11-09
1573344000.0,8805.0,9125.0,8750.0,9040.02,267.23681899999997,2019-11-10
1573430400.0,9040.46,9067.98,8611.99,8717.26,357.554264,2019-11-11
1573516800.0,8714.98,8850.51,8560.8,8795.45,424.27411100000006,2019-11-12
1573603200.0,8795.46,8813.99,8700.0,8761.74,275.066981,2019-11-13
1573689600.0,8765.27,8780.8,8563.51,8629.52,249.601021,2019-11-14
1573776000.0,8629.47,8755.0,8376.71,8458.59,325.236178,2019-11-15
1573862400.0,8457.26,8523.35,8423.77,8475.14,147.164449,2019-11-16
1573948800.0,8480.67,8615.0,8367.16,8499.02,226.033411,2019-11-17
1574035200.0,8499.82,8499.82,8041.31,8170.35,368.06472,2019-11-18
1574121600.0,8169.34,8192.02,8000.0,8119.08,306.20117400000004,2019-11-19
1574208000.0,8119.08,8213.46,8023.0,8081.13,188.520152,2019-11-20
1574294400.0,8079.14,8110.92,7400.0,7617.85,414.992437,2019-11-21
1574380800.0,7616.87,7707.41,6789.75,7280.03,1112.929458,2019-11-22
1574467200.0,7278.88,7345.0,7094.5,7315.93,543.101566,2019-11-23
1574553600.0,7326.39,7335.74,6868.99,6909.78,1122.792371,2019-11-24
1574640000.0,6904.65,7368.38,6517.89,7122.01,715.140453,2019-11-25
1574726400.0,7116.77,7338.63,7021.43,7156.49,374.827968,2019-11-26
1574812800.0,7155.3,7657.01,6852.0,7524.93,652.334103,2019-11-27
1574899200.0,7518.98,7644.31,7349.99,7426.04,452.32531100000006,2019-11-28
1574985600.0,7424.23,7855.17,7404.49,7746.69,478.743301,2019-11-29
1575072000.0,7742.98,7809.54,7456.61,7549.51,284.967859,2019-11-30
1575158400.0,7543.39,7543.39,7230.0,7396.02,705.4023030000001,2019-12-01
1575244800.0,7400.73,7422.47,7165.62,7300.84,455.414743,2019-12-02
1575331200.0,7300.77,7401.05,7242.58,7295.26,308.563171,2019-12-03
1575417600.0,7294.76,7732.84,7082.1,7191.4,857.3164109999999,2019-12-04
1575504000.0,7193.47,7483.96,7157.01,7389.8,529.053909,2019-12-05
1575590400.0,7391.97,7596.36,7306.0,7534.87,492.922769,2019-12-06
1575676800.0,7533.48,7621.48,7482.14,7496.7,236.188497,2019-12-07
1575763200.0,7496.05,7575.58,7387.46,7518.87,198.347623,2019-12-08
1575849600.0,7520.4,7649.33,7276.49,7339.49,474.49725199999995,2019-12-09
1575936000.0,7339.47,7398.96,7162.0,7223.92,394.117838,2019-12-10
1576022400.0,7223.52,7266.12,7126.22,7194.36,291.205484,2019-12-11
1576108800.0,7195.48,7282.37,7073.38,7186.86,373.296964,2019-12-12
1576195200.0,7188.37,7292.8,7180.0,7248.97,327.60037,2019-12-13
1576281600.0,7249.51,7264.0,7006.46,7058.15,440.413766,2019-12-14
1576368000.0,7057.62,7195.47,7003.93,7110.0,334.641797,2019-12-15
1576454400.0,7112.72,7135.18,6822.58,6879.65,557.931427,2019-12-16
1576540800.0,6879.67,6930.13,6551.07,6614.17,755.220029,2019-12-17
1576627200.0,6616.65,7445.78,6430.2,7280.0,1252.4228130000001,2019-12-18
1576713600.0,7285.25,7370.0,7045.02,7148.01,480.11719400000004,2019-12-19
1576800000.0,7149.75,7213.47,7078.8,7187.52,381.912177,2019-12-20
1576886400.0,7188.0,7189.64,7114.66,7134.5,200.07763899999998,2019-12-21
1576972800.0,7134.5,7520.0,7125.0,7504.47,510.70575499999995,2019-12-22
1577059200.0,7511.99,7688.82,7267.1,7316.11,720.533361,2019-12-23
1577145600.0,7312.76,7419.98,7155.41,7250.12,531.731345,2019-12-24
1577232000.0,7248.35,7256.79,7111.68,7192.07,308.12731,2019-12-25
1577318400.0,7193.86,7415.21,7149.41,7192.39,388.39912000000004,2019-12-26
